table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29610,50.00,FAIL,4,2,0,1,1,2026-06-19T11:41:57
professional_activity,29602,100.00,PASS,2,2,0,0,0,2026-06-19T11:41:57
natural_person_description,4624248,38.40,FAIL,13,5,0,0,8,2026-06-19T11:41:57
legal_entity_financial_data,0,0.00,FAIL,2,0,0,0,2,2026-06-19T11:41:57
legal_entity_description,0,0.00,FAIL,6,0,0,0,6,2026-06-19T11:41:57
customers,0,0.00,FAIL,4,0,0,0,4,2026-06-19T11:41:57
customer_job,0,0.00,FAIL,5,0,0,0,5,2026-06-19T11:41:57
customer_activity,0,0.00,FAIL,3,0,0,0,3,2026-06-19T11:41:57
company_shareholders,0,0.00,FAIL,2,0,0,0,2,2026-06-19T11:41:57
customer_mail,0,0.00,FAIL,4,0,0,0,4,2026-06-19T11:41:57
customer_creation_context,0,0.00,FAIL,2,0,0,0,2,2026-06-19T11:41:57
customer_segmentation,0,0.00,FAIL,1,0,0,0,1,2026-06-19T11:41:57
